target,target_p,frequlemfilms2,distractor,distractor_p
rétro,Re-tRo,1.12,armer,aR-me
trauma,tRo-ma,4.69,somptueux,s§p-t82
mari,ma-Ri,264.15,ramon,Ra-m§
rider,Ri-de,2.06,truquer,tRy-ke
délit,de-li,13.52,licol,li-kOl
lisser,li-se,2.04,laveur,la-v9R
séné,se-ne,0.16,molosse,mo-lOs
neiger,ne-Ze,7.87,mateur,ma-t9R
gérer,Ze-Re,27.51,putier,py-tje
récri,Re-kRi,0.02,sureau,sy-Ro
crisser,kRi-se,1.46,baquet,ba-kE
seller,se-le,1.81,dédale,de-dal
legato,le-ga-to,0.01,cyclotron,si-klo-tR§
toper,to-pe,2.59,gober,go-be
